facility_name,address,gu
(주)삼성전자(그린센터 2층 계단앞),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
(주)삼성전자(UT동 1층 정문 앞),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
(주)삼성전자(C1 1층 탈의실 앞),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
(주)삼성전자(신정문 입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
(주)삼성전자(C5 1층 정문 스피드게이트),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
(주)온셀텍(남자 탈의실 출입구),충청남도 천안시 서북구 차암동 426 충청남도 천안시 서북구 3공단6로 86-9 (차암동),서북구
(주)온셀텍(여자 탈의실 출입구),충청남도 천안시 서북구 차암동 426 충청남도 천안시 서북구 3공단6로 86-9 (차암동),서북구
(주)온셀텍(회사 로비),충청남도 천안시 서북구 차암동 426 충청남도 천안시 서북구 3공단6로 86-9 (차암동),서북구
e편한세상1차스마일시티(관리동 2층 관리사무소내),충청남도 천안시 서북구 차암동  442 e편한세상스마일시티 충청남도 천안시 서북구 3공단6로 85-27,서북구
e편한세상두정2차(정문 보안실),"충청남도 천안시 서북구 두정동 2055 e편한세상 두정2차 충청남도 천안시 서북구 노태산로 145(두정동, e편한세상 두정2차)",서북구
e편한세상두정3차(커뮤니티센터내 정수기옆),"충청남도 천안시 서북구 두정동 2063 e편한세상 두정3차 충청남도 천안시 서북구 북일로 21 (두정동, e편한세상 두정3차)",서북구
e편한세상두정3차(관리사무소 출입구 우측 벽면),충청남도 천안시 서북구 두정동  2063 e편한세상 두정3차 충청남도 천안시 서북구 북일로 21,서북구
광명장미아파트(관리사무소1층현관),"충청남도 천안시 서북구 쌍용동 1233 광명아파트 충청남도 천안시 서북구 미라2길 19(쌍용동, 광명아파트)",서북구
대우목화아파트(6동앞 1차경비실),"충청남도 천안시 서북구 성정동 643 대우목화아파트 충청남도 천안시 서북구 서부16길 49  (성정동, 대우목화아파트)",서북구
대우타워아파트(정문 경비실 내),충청남도 천안시 서북구 쌍용동  889 대우타워아파트 충청남도 천안시 서북구 미라15길 24,서북구
대전지방고용노동청천안지청(1층 고객지원실 옆),"충청남도 천안시 서북구 두정동 900 고용노동부천안지청 충청남도 천안시 서북구 원두정8길 3, 고용노동부천안지청 (두정동)",서북구
대전지방고용노동청천안지청천안고용센터(천안고용센터 4층 우편함 옆),"충청남도 천안시 서북구 성정동 1437 충남타워 충청남도 천안시 서북구 동서대로 163, 충남타워 (성정동)",서북구
두정역범양레우스알파(관리사무소),"충청남도 천안시 서북구 두정동 399-1 두정역범양레우스 알파 충청남도 천안시 서북구 두정공단2길 26 (두정동, 두정역범양레우스 알파)",서북구
두정역푸르지오아파트(후문상황실입구),충청남도 천안시 서북구 두정동  2037 두정역푸르지오아파트 충청남도 천안시 서북구 두정역길 48,서북구
두정역푸르지오아파트(정문경비실),"충청남도 천안시 서북구 두정동 2037 두정역푸르지오아파트 충청남도 천안시 서북구 두정역길 48 (두정동, 두정역푸르지오아파트)",서북구
두정우성아파트(관리사무소),"충청남도 천안시 서북구 두정동 1909 우성아파트 충청남도 천안시 서북구 두정고7길 36  (두정동, 우성아파트)",서북구
두정주공8단지아파트(관리동),"충청남도 천안시 서북구 두정동 527 주공8단지아파트 충청남도 천안시 서북구 두정중5길 33  (두정동, 주공8단지아파트)",서북구
듀폰스페셜티머터리얼스코리아유한회사(차암동 (office)),"충청남도 천안시 서북구 차암동 410 한국유미코아(유) 충청남도 천안시 서북구 3공단2로 71, 한국유미코아(유) (차암동)",서북구
듀폰스페셜티머터리얼스코리아유한회사(차암동 (ACT)),"충청남도 천안시 서북구 차암동 410 한국유미코아(유) 충청남도 천안시 서북구 3공단2로 71, 한국유미코아(유) (차암동)",서북구
듀폰스페셜티머터리얼스코리아유한회사(차암동 (APT)),"충청남도 천안시 서북구 차암동 410 한국유미코아(유) 충청남도 천안시 서북구 3공단2로 71, 한국유미코아(유) (차암동)",서북구
롯데웰푸드천안공장(관리동 3층 식당 입구),"충청남도 천안시 서북구 성성동 494 롯데푸드천안공장 충청남도 천안시 서북구 2공단4로 19, 롯데푸드천안공장 (성성동)",서북구
롯데웰푸드천안공장(정제동 현관 앞),"충청남도 천안시 서북구 성성동 494 롯데푸드천안공장 충청남도 천안시 서북구 2공단4로 19, 롯데푸드천안공장 (성성동)",서북구
불당동일하이빌아파트(종합상황실 앞),"충청남도 천안시 서북구 불당동 750 불당마을동일하이빌아파트 충청남도 천안시 서북구 시청로 73 (불당동, 불당마을동일하이빌아파트)",서북구
삼성디스플레이(주)(A1 3F 창고),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 5F 3번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 3F 1번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 2F 2번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(E/V 앞),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 UT동 1F 입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 2F 개발샵입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 5F 4번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 5F 1번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 UT동 RF 입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 2F 천안환경안전그룹),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 3F 2번 반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 1F 연결통로),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 2F 4번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 2F 1번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 3F 3번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 1F 1번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 4F 3번 반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(GCS동 1F 사무실),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 2F 로비),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 2F 스막),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 2F 3번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 3F 4번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 1F 3번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 RF 3번 반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 RF 2번 반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(가스트레일러 1F 사무실),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 1F 2번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 RF 4번 반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 B1F 공동구 입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 5F E/V 앞),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 B1F D반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 RF 1번 반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 5F 스막),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 B1F C반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 3F 스막),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 3F 대여),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 5F 2번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 4F 4번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 4F 1번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 3F 로비),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 5F 운영 CCR),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 4F 2번반입구),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성디스플레이(주)(A1 1F 로비),"충청남도 천안시 서북구 성성동 510 삼성전자(주)천안캠퍼스 충청남도 천안시 서북구 번영로 465, 삼성전자(주)천안캠퍼스 (성성동)",서북구
삼성물산천안C라인마감공사현장(사외화 휴게실 출입문),"충청남도 천안시 서북구 성성동 512-1 삼성OK주유소 충청남도 천안시 서북구 3공단5로 78, 삼성OK주유소 (성성동)",서북구
삼성물산천안C라인마감공사현장(외부캠프 2F 출입문),"충청남도 천안시 서북구 성성동 512-1 삼성OK주유소 충청남도 천안시 서북구 3공단5로 78, 삼성OK주유소 (성성동)",서북구
성성비스타동원아파트(정문경비실),충청남도 천안시 서북구 성성동 734 충청남도 천안시 서북구 성성6로 129 (성성동),서북구
성정현대(관리사무소 입구),"충청남도 천안시 서북구 성정동 434 현대아파트 충청남도 천안시 서북구 쌍용대로 303 (성정동, 현대아파트)",서북구
신당고등학교(3층 홈베이스),"충청남도 천안시 서북구 신당동 286-2 천안신당고등학교 충청남도 천안시 서북구 신당새터2길 36, 천안신당고등학교 (신당동)",서북구
신당고등학교(본교1층),"충청남도 천안시 서북구 신당동 286-2 천안신당고등학교 충청남도 천안시 서북구 신당새터2길 36, 천안신당고등학교 (신당동)",서북구
신동아파밀리에(관리동1층),충청남도 천안시 서북구 와촌동  173 신동아파밀리에아파트 충청남도 천안시 서북구 천안천4길 18-10,서북구
신세계푸드(건물 입구),"충청남도 천안시 서북구 업성동 623-2 조선호텔베이커리 충청남도 천안시 서북구 2공단3로 101, 조선호텔베이커리 (업성동)",서북구
쌍용동일하이빌(아파트 정문 경비실 옆),"충청남도 천안시 서북구 쌍용동 2077 쌍용동일하이빌아파트 충청남도 천안시 서북구 충무로 5-16(쌍용동, 쌍용동일하이빌아파트)",서북구
쌍용마을뜨란채(관리동 2층),"충청남도 천안시 서북구 쌍용동 1920 쌍용마을뜨란채아파트 충청남도 천안시 서북구 봉서산샛길 64 (쌍용동, 쌍용마을뜨란채아파트)",서북구
쌍용마을뜨란채아파트(천안쌍용5-2관리실앞),"충청남도 천안시 서북구 쌍용동 1920 쌍용마을뜨란채아파트 천안쌍용5-2관리사무소 충청남도 천안시 서북구 봉서산샛길 64 천안쌍용5-2관리사무소 (쌍용동, 쌍용마을뜨란채아파트)",서북구
쌍용자이아파트(경비실),"충청남도 천안시 서북구 쌍용동 2075 쌍용자이아파트 충청남도 천안시 서북구 월봉1길 15(쌍용동, 쌍용자이아파트)",서북구
쌍용자이아파트(관리사무소 앞),"충청남도 천안시 서북구 쌍용동 2075 쌍용자이아파트 충청남도 천안시 서북구 월봉1길 15(쌍용동, 쌍용자이아파트)",서북구
에드워드코리아(1층 창고),"충청남도 천안시 서북구 차암동 428 에드워드코리아 충청남도 천안시 서북구 3공단6로 80, 에드워드코리아 (차암동)",서북구
용암마을아파트(관리동 지하1층 현관),충청남도 천안시 서북구 쌍용동  1923 용암마을아파트 충청남도 천안시 서북구 월봉로 131,서북구
우남두정마을아파트(우남두정마을아파트관리사무소),충청남도 천안시 서북구 두정동 1596 우남아파트 충청남도 천안시 서북구 두정역서5길 11,서북구
월봉벽산태영아파트(관리사무소1층현관입구),충청남도 천안시 서북구 쌍용동  1538 월봉벽산태영아파트 충청남도 천안시 서북구 월봉4로 140-14,서북구
월봉일성아파트(제2경비초소),"충청남도 천안시 서북구 쌍용동 1547 월봉일성아파트 충청남도 천안시 서북구 월봉4로 120-16 (쌍용동, 월봉일성아파트)",서북구
